No,region,경도,위도
1,모시터길 68-16,127.27090667518,36.6297353206709
2,수구동길 68-1,127.225593090869,36.6750180180427
3,덕고개길 49,127.193096470726,36.6808533690159
4,효교로 247,127.2259680061,36.5705596860249
5,조치원8길 15,127.300780432331,36.6008815233021
6,수왕로 418,127.23372908654,36.542724298253
7,하봉길 110,127.192075290361,36.4963277651339
8,행산웃골길 22-1,127.373657394319,36.5538385797792
9,용포동촌길 51-15,127.365983365301,36.5337346079142
10,참시렁골길 16,127.204682391346,36.4987973346349
11,강당길 11,127.191587395877,36.5484050308706
12,뒤골길 36,127.294540396387,36.5852496834858
13,부강4길 22,127.368807371971,36.5297323237528
14,원마루길 33,127.290060084457,36.6096635758948
15,남성골길 20-7,127.374544025952,36.5289613909757
16,초오개길 29,127.344441746141,36.4996960838341
17,뜸복골길 42-1,127.272575982944,36.5942969534718
19,대학길 56-13,127.209871638537,36.4421188860105
20,매실로 26,127.202934881039,36.692024305558
21,대학길 34,127.64044648496,37.1249595965295
22,용암길 2-16,127.231471055724,36.6054405284594
23,장욱진로 16,127.32873814323,36.5549662060214
24,상노장길 33,127.275341385025,36.6723754161089
25,산학리길 354,128.410857754124,38.478725731424
26,명학1길 46-4,127.339824954964,36.5350293720524
27,서고길 56,127.253314090965,36.6036531903263
28,정계길 9-9,127.21694689948,36.507808857392
29,국실길 22,127.269652533418,36.4288957926062
30,운주산로 1214,127.202333000888,36.6797337288227
31,전원마을1길 54,127.221013653379,36.4421129895168
32,깊은내길 180,127.257124429136,36.6440742599591
33,갈산웃골길 42,127.371068910809,36.5451731924155
34,대평시장1길 6,127.281935983014,36.466076109314
35,원봉1길 109-2,127.239070249048,36.4514052625996
36,학교말길 22,127.159500523985,36.7217831630597
37,수랑골길 42,127.177938124001,36.6001585196371
38,송용2길 50-1,127.326565879395,36.5638176845793
39,의당전의로 702-10,127.192025150361,36.5380424202426
40,조치원로 64-1,127.303645664213,36.6024530886801
41,서부길 14-1,127.27655116542,36.5457718816085
42,번암안동네길 31,128.92488550381,35.2404918013359
43,원합강3길 17,127.332521394532,36.5254353527893
44,송문1길 118-18,127.188108841979,36.5073934717066
45,송적골길 10-95,127.23596053512,36.597789606717
46,도남2길 237,127.235133987511,36.4435407132781
47,성덕도암길 133,127.269508767928,36.4454475369824
48,새내로 53,127.298735375554,36.5966978211077
49,새말길 25,127.793112685721,36.0044533861508
50,큰창고개길 29-4,127.280936634409,36.578619233733
51,한양궁길 83-17,127.253531783789,36.4550060314101
52,서호로 40,126.522826120401,33.257636526346
53,남조로 2185,126.660929501324,33.4604756521147
54,아봉로 433,126.581262892174,33.4710099254377
55,방일4길 9-1,126.469042204119,33.4779162240373
56,장원길 34-26,126.278411725231,33.413318326903
57,법환하로 47,126.51273058526,33.2363456630415
58,오조로80번길 5,126.915827544828,33.4615275309998
59,중산간서로 554-3,126.455758696089,33.2622811363272
60,행원로 138,126.809434933288,33.5521701292845
61,평대2길 25-1,126.838306065919,33.5332040647602
62,신산로9길 15,126.535314260556,33.5085431163154
63,상모로 219-10,126.26489398684,33.2244701835375
64,일주동로 7501,126.678845599757,33.2789695928766
65,한수3길 8,126.263229711133,33.4205471848282
66,명재로 142-15,126.262284203158,33.3916238903183
67,삼성로5길 34-7,126.528328782649,33.5094499605508
68,중산간동로 765-13,126.664469223442,33.4952184752153
69,고마로13길 48,126.543034078607,33.5114503353384
70,천제연로213번길 6-1,126.42788974274,33.2519891518624
71,청수서5길 61-3,126.250036513568,33.3055029917196
72,용담로13길 7,126.51325714134,33.5128771387106
73,중산간동로 5481,126.769382351432,33.3319739894362
74,서호호근로 20,126.524708980836,33.2492920496675
75,예래로 199,126.392020644618,33.2453864430232
76,흥운길 25-29,126.510665057965,33.5110373098114
77,선반로 96-16,126.496387043912,33.2428685305448
78,우도해안길 938,126.965375401362,33.511434209328
79,마소물로135번길 36,126.592080069483,33.2563097726215
80,중앙로182번길 78-4,126.566827515468,33.2618186546932
81,김녕로 50-18,126.743748980856,33.554077214699
82,서광로20길 32-2,126.521695291328,33.4969558620188
83,남성로9길 12-1,128.587845465295,35.8695288287158
85,인다15길 33,126.550240745969,33.4709952672194
86,삼양고수물길 2,126.950934549964,33.5193280205447
87,매촌4길 138,126.601305771822,33.509529175025
88,광성로 328,126.442153906744,33.4603242775879
